Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.61,0.01,-17.060639188078415
100% Corpus,5,0.61,0.31,-17.67411884481126
100% Corpus,5,0.61,0.61,-17.73484099224375
100% Corpus,5,0.61,0.9099999999999999,-17.66883349033754
100% Corpus,5,0.61,symmetric,-17.674276780468738
100% Corpus,5,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,5,0.9099999999999999,0.31,-18.183965117931148
100% Corpus,5,0.9099999999999999,0.61,-18.190690134895966
100% Corpus,5,0.9099999999999999,0.9099999999999999,-18.198908856797402
100% Corpus,5,0.9099999999999999,symmetric,-18.184879008096168
100% Corpus,5,symmetric,0.01,-17.060639188078415
100% Corpus,5,symmetric,0.31,-17.590513649173328
100% Corpus,5,symmetric,0.61,-17.594754132407594
100% Corpus,5,symmetric,0.9099999999999999,-17.62638073526055
100% Corpus,5,symmetric,symmetric,-17.619523253941377
100% Corpus,5,asymmetric,0.01,-17.060639188078415
100% Corpus,5,asymmetric,0.31,-17.606776167719126
100% Corpus,5,asymmetric,0.61,-17.667024542649706
100% Corpus,5,asymmetric,0.9099999999999999,-17.556846158718972
100% Corpus,5,asymmetric,symmetric,-17.63160285576166
100% Corpus,6,0.01,0.01,-17.060639188078415
100% Corpus,6,0.01,0.31,-17.548726760982415
100% Corpus,6,0.01,0.61,-17.576655448435687
100% Corpus,6,0.01,0.9099999999999999,-17.62548543246494
100% Corpus,6,0.01,symmetric,-17.561475511188082
100% Corpus,6,0.31,0.01,-17.060639188078415
100% Corpus,6,0.31,0.31,-17.60386623205153
100% Corpus,6,0.31,0.61,-17.60616965200762
100% Corpus,6,0.31,0.9099999999999999,-17.599928025780944
100% Corpus,6,0.31,symmetric,-17.556580253965905
100% Corpus,6,0.61,0.01,-17.060639188078415
100% Corpus,6,0.61,0.31,-17.6435108559109
100% Corpus,6,0.61,0.61,-17.67855504981463
100% Corpus,6,0.61,0.9099999999999999,-17.745939405433152
100% Corpus,6,0.61,symmetric,-17.645124209359167
100% Corpus,6,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,6,0.9099999999999999,0.31,-18.199636734241
100% Corpus,6,0.9099999999999999,0.61,-18.19439346474479
100% Corpus,6,0.9099999999999999,0.9099999999999999,-18.18658605172728
100% Corpus,6,0.9099999999999999,symmetric,-18.195427690564195
100% Corpus,6,symmetric,0.01,-17.060639188078415
100% Corpus,6,symmetric,0.31,-17.564845237408182
100% Corpus,6,symmetric,0.61,-17.565121093786853
100% Corpus,6,symmetric,0.9099999999999999,-17.554723230763273
100% Corpus,6,symmetric,symmetric,-17.568776719939475
100% Corpus,6,asymmetric,0.01,-17.060639188078415
100% Corpus,6,asymmetric,0.31,-17.568525353798034
100% Corpus,6,asymmetric,0.61,-17.51516073223843
100% Corpus,6,asymmetric,0.9099999999999999,-17.582019450210485
100% Corpus,6,asymmetric,symmetric,-17.451453493507227
100% Corpus,7,0.01,0.01,-17.060639188078415
100% Corpus,7,0.01,0.31,-17.553533571202472
100% Corpus,7,0.01,0.61,-17.559509373043387
100% Corpus,7,0.01,0.9099999999999999,-17.51402485465355
100% Corpus,7,0.01,symmetric,-17.54034606925417
100% Corpus,7,0.31,0.01,-17.060639188078415
100% Corpus,7,0.31,0.31,-17.551432065297682
100% Corpus,7,0.31,0.61,-17.549229757343873
100% Corpus,7,0.31,0.9099999999999999,-17.58349732514989
100% Corpus,7,0.31,symmetric,-17.552207918153254
100% Corpus,7,0.61,0.01,-17.060639188078415
100% Corpus,7,0.61,0.31,-17.69831454976565
100% Corpus,7,0.61,0.61,-17.70880616080536
100% Corpus,7,0.61,0.9099999999999999,-17.932429603403484
100% Corpus,7,0.61,symmetric,-17.642635593766588
100% Corpus,7,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,7,0.9099999999999999,0.31,-18.185989796236814
100% Corpus,7,0.9099999999999999,0.61,-18.187664936462085
100% Corpus,7,0.9099999999999999,0.9099999999999999,-18.18479297684284
100% Corpus,7,0.9099999999999999,symmetric,-18.185613316320495
100% Corpus,7,symmetric,0.01,-17.060639188078415
100% Corpus,7,symmetric,0.31,-17.554411407426663
100% Corpus,7,symmetric,0.61,-17.525514863431876
100% Corpus,7,symmetric,0.9099999999999999,-17.53308092888501
100% Corpus,7,symmetric,symmetric,-17.511614810875972
100% Corpus,7,asymmetric,0.01,-17.060639188078415
100% Corpus,7,asymmetric,0.31,-17.537292789573584
100% Corpus,7,asymmetric,0.61,-17.523814730841245
100% Corpus,7,asymmetric,0.9099999999999999,-17.55667898750351
100% Corpus,7,asymmetric,symmetric,-17.500758444324457
100% Corpus,8,0.01,0.01,-17.060639188078415
100% Corpus,8,0.01,0.31,-17.48861990589724
100% Corpus,8,0.01,0.61,-17.475830552169136
100% Corpus,8,0.01,0.9099999999999999,-17.51626868562921
100% Corpus,8,0.01,symmetric,-17.472274208104558
100% Corpus,8,0.31,0.01,-17.060639188078415
100% Corpus,8,0.31,0.31,-17.524490587659805
100% Corpus,8,0.31,0.61,-17.577126458837913
100% Corpus,8,0.31,0.9099999999999999,-17.517245690778125
100% Corpus,8,0.31,symmetric,-17.4852221693897
100% Corpus,8,0.61,0.01,-17.060639188078415
100% Corpus,8,0.61,0.31,-17.97527147630829
100% Corpus,8,0.61,0.61,-18.0516959187091
100% Corpus,8,0.61,0.9099999999999999,-18.187187370643358
100% Corpus,8,0.61,symmetric,-17.713496231696983
100% Corpus,8,0.9099999999999999,0.01,-17.060639188078415
100% Corpus,8,0.9099999999999999,0.31,-18.185729861485846
100% Corpus,8,0.9099999999999999,0.61,-18.195050528928167
100% Corpus,8,0.9099999999999999,0.9099999999999999,-18.18795185559297
100% Corpus,8,0.9099999999999999,symmetric,-18.194148013211183
100% Corpus,8,symmetric,0.01,-17.060639188078415
100% Corpus,8,symmetric,0.31,-17.455643378179282
100% Corpus,8,symmetric,0.61,-17.4986241885383
100% Corpus,8,symmetric,0.9099999999999999,-17.508825101499387
100% Corpus,8,symmetric,symmetric,-17.526407097498257
100% Corpus,8,asymmetric,0.01,-17.060639188078415
100% Corpus,8,asymmetric,0.31,-17.45194220992665
100% Corpus,8,asymmetric,0.61,-17.539637776782133
100% Corpus,8,asymmetric,0.9099999999999999,-17.49886576519152
100% Corpus,8,asymmetric,symmetric,-17.48098798256075
100% Corpus,9,0.01,0.01,-17.060639188078415
100% Corpus,9,0.01,0.31,-17.45965351108508
100% Corpus,9,0.01,0.61,-17.47304568126032
100% Corpus,9,0.01,0.9099999999999999,-17.44264372366104
100% Corpus,9,0.01,symmetric,-17.530204214812443
100% Corpus,9,0.31,0.01,-17.060639188078415
